WMFFL Scoring History
Werewolves
,,Player/Week,1,2,3,4,5,Tot
DB,2681,Dawkins,6*,0 ,0b,0 ,0 ,6
DB,6513,Jammer,9 ,4*,3*,4 ,3*,23
DB,5673,Plummer,26x,6 ,8 ,0x,10x,50
,,Starter Points = ,83,71,87,76,77
,,Potential Points = ,124,92,97,113,107
,,Offensive Points = ,23,29,57,37,48
,,Defensive Points = ,60,42,30,39,29
,,Total Points For = ,0,0,30,6,24

MeggaMen
,,Player/Week,1,2,3,4,5,Tot
HC,6497,Spurrier,3*,3*,0*,3*,0*,9
QB,1265,Green,6 ,2 ,3 ,4x,10x,25
QB,3445,Hasselbeck,10*,18*,12*,0b,0 ,40
QB,6540,Ramsey,3 ,15 ,19 ,0*,12*,49
RB,2657,Alstott,1x,0x,12 ,0b,0 ,13
RB,1054,Bettis,0x,0x,6 ,0x,6x,12
RB,5680,Canidate,0 ,2 ,0 ,1 ,0 ,3
RB,4954,Henry,16*,18*,0*,0*,13*,47
RB,4943,Jordan,6 ,1x,0x,0x,0b,7
RB,7033,Smith,0x,0x,0x,6 ,4 ,10
RB,3298,Taylor,7*,3*,5*,7*,22*,44
WR,5657,Burress,7*,14*,1*,0*,0*,22
WR,2650,Moulds,2*,16*,0*,9*,8*,35
WR,1566,Rice,0 ,0 ,0 ,8 ,0 ,8
WR,4035,Streets,6 ,6 ,0 ,8 ,0 ,20
TE,4043,Clark,7x,2x,0b,3x,-1*,11
TE,2895,Pollard,-1*,1*,0 ,2*,1x,3
TE,6575,Schobel,5x,0 ,0x,0x,0x,5
TE,6536,Stevens,0 ,0x,0x,0b,0x,0
K ,5666,Janikowski,10*,12*,5*,11*,15*,53
Off,623,Green Bay,4x,17 ,5*,16*,11*,53
Off,608,Tennessee,2*,-1*,3x,2x,3x,9
DL,4897,Carter,3*,3*,3*,2*,2*,13
DL,5798,Gbaja-Biamila,10 ,0 ,2 ,8 ,2*,22
DL,3344,Little,10*,4*,12*,7*,0b,33
LB,5651,Arrington,6*,9*,13*,5*,5*,38
LB,4933,Bell,11 ,3 ,7 ,6*,9 ,36
LB,1914,Brooks,5*,4*,3*,0b,5*,17
LB,3895,Wilson,6 ,7 ,4 ,7 ,6 ,30
DB,2965,Barber,5 ,4*,5*,0b,22 ,36
DB,3176,Knight,5*,6*,6*,0b,5*,22
DB,3887,Winfield,5x,8x,10x,10*,11 ,44
DB,1740,Woodson,4*,0 ,8 ,4*,5*,21
,,Starter Points = ,89,114,70,82,104
,,Potential Points = ,108,117,96,103,132
,,Offensive Points = ,56,84,28,48,80
,,Defensive Points = ,33,30,42,34,24
,,Total Points For = ,25,44,0,9,51

