WMFFL Scoring History
Werewolves
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
QB,1234,Gannon,15*,0*,0*,23*,-4*,4*,-4 ,0b,0x,0x,0x,0x,0x,0x,0x,34
QB,1349,Johnson,12 ,10 ,12 ,0b,22 ,27 ,0*,2*,12*,12*,0*,7*,-2*,11*,2*,127
QB,2943,Plummer,-6x,18x,20 ,13 ,8 ,0 ,0 ,0 ,0 ,0b,17 ,6 ,4 ,8 ,0 ,88
RB,2938,Barber,8*,0*,6*,0B,9 ,7*,6*,13*,4*,11*,13*,1*,0*,6*,0*,84
RB,4867,Hambrick,0 ,0 ,0b,13 ,-2*,6 ,6*,0*,12 ,0 ,0 ,0 ,0 ,2 ,12 ,49
RB,1294,Hearst,15*,4*,0*,4*,2*,4*,15 ,0 ,1*,0B,1*,0*,0*,0*,0*,46
RB,5656,Jones,0 ,0 ,-2x,0b,0x,0x,-2x,0x,0x,0x,8x,6x,6x,4x,13x,33
WR,5175,Bennett,0x,0x,15 ,6 ,0x,0x,9x,0x,0b,0x,0x,0x,0x,0x,0x,30
WR,1094,Brown,0*,3*,0*,4*,6 ,0*,15 ,-4 ,0 ,0b,0*,0*,0*,0*,6*,30
WR,1795,Galloway,16 ,0 ,0b,5 ,0*,0*,0*,0*,0*,0*,0 ,6 ,0 ,0 ,0 ,27
WR,2745,Horn,11*,11*,0*,2*,6 ,6 ,15*,16*,0*,0B,0*,-1*,0*,10*,36*,112
WR,4926,Morgan,0 ,0 ,0x,9x,0x,0x,0x,0x,0b,0x,12x,0x,0x,6x,0x,27
WR,3429,Shaw,0x,8x,0x,11x,0*,2 ,0 ,0 ,0b,0 ,4 ,0 ,8 ,0 ,6 ,39
WR,4923,Wayne,0x,0x,26 ,0 ,0 ,7 ,0b,17 ,0 ,2 ,13 ,0 ,6 ,0 ,9 ,80
TE,1605,Sharpe,0*,8*,6*,10*,1*,9*,4*,1*,1*,0B,25*,1*,7*,4*,7*,84
K ,4883,Feely,9*,7*,4*,3*,8*,0 ,5*,0B,12*,2*,8 ,8 ,8 ,2 ,1 ,77
K ,3561,Vanderjagt,11 ,17 ,12 ,15 ,8 ,8*,0b,12 ,14 ,11 ,8*,3*,11*,17*,9*,156
Off,612,Kansas City,6*,11*,12*,3*,9*,6*,6*,9*,0B,2*,2*,9*,14*,3*,13*,105
